"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
1,11.1892478532266,1,0,0,0,0,0,0,0
1,11.262141976049,1,0,0,0,0,0,0,0
1,11.3350360988713,1,0,0,0,0,0,0,0
1,11.4079302216936,1,0,0,0,0,0,0,0
1,11.4808243445159,1,0,0,0,0,0,0,0
1,11.5537184673383,1,0,0,0,0,0,0,0
1,11.6266125901606,1,0,0,0,0,0,0,0
1,11.6995067129829,1,0,0,0,0,0,0,0
1,11.7724008358052,1,0,0,0,0,0,0,0
1,11.8452949586275,1,0,0,0,0,0,0,0
1,11.9181890814499,1,0,0,0,0,0,0,0
1,11.9910832042722,1,0,0,0,0,0,0,0
1,12.0639773270945,1,0,0,0,0,0,0,0
1,12.1368714499168,1,0,0,0,0,0,0,0
1,12.2097655727392,1,0,0,0,0,0,0,0
1,12.2826596955615,1,0,0,0,0,0,0,0
1,12.3555538183838,1,0,0,0,0,0,0,0
1,12.4284479412061,1,0,0,0,0,0,0,0
1,12.5013420640285,1,0,0,0,0,0,0,0
1,12.5742361868508,1,0,0,0,0,0,0,0
1,12.6471303096731,1,0,0,0,0,0,0,0
1,12.7200244324954,1,0,0,0,0,0,0,0
1,12.7929185553178,1,0,0,0,0,0,0,0
1,12.8658126781401,1,0,0,0,0,0,0,0
1,12.9387068009624,1,0,0,0,0,0,0,0
1,13.0116009237847,1,0,0,0,0,0,0,0
1,13.084495046607,1,0,0,0,0,0,0,0
1,13.1573891694294,1,0,0,0,0,0,0,0
1,13.2302832922517,1,0,0,0,0,0,0,0
1,13.303177415074,1,0,0,0,0,0,0,0
1,13.3760715378963,1,0,0,0,0,0,0,0
1,13.4489656607187,1,0,0,0,0,0,0,0
1,13.521859783541,1,0,0,0,0,0,0,0
1,13.5947539063633,1,0,0,0,0,0,0,0
1,13.6676480291856,1,0,0,0,0,0,0,0
1,13.740542152008,1,0,0,0,0,0,0,0
1,13.8134362748303,1,0,0,0,0,0,0,0
1,13.8863303976526,1,0,0,0,0,0,0,0
1,13.9592245204749,1,0,0,0,0,0,0,0
1,14.0321186432972,1,0,0,0,0,0,0,0
1,14.1050127661196,1,0,0,0,0,0,0,0
1,14.1779068889419,1,0,0,0,0,0,0,0
1,14.2508010117642,1,0,0,0,0,0,0,0
1,14.3236951345865,1,0,0,0,0,0,0,0
1,14.3965892574089,1,0,0,0,0,0,0,0
1,14.4694833802312,1,0,0,0,0,0,0,0
1,14.5423775030535,1,0,0,0,0,0,0,0
1,14.6152716258758,1,0,0,0,0,0,0,0
1,14.6881657486982,1,0,0,0,0,0,0,0
1,14.7610598715205,1,0,0,0,0,0,0,0
1,14.8339539943428,1,0,0,0,0,0,0,0
1,14.9068481171651,1,0,0,0,0,0,0,0
1,14.9797422399875,1,0,0,0,0,0,0,0
1,15.0526363628098,1,0,0,0,0,0,0,0
1,15.1255304856321,1,0,0,0,0,0,0,0
1,15.1984246084544,1,0,0,0,0,0,0,0
1,15.2713187312767,1,0,0,0,0,0,0,0
1,15.3442128540991,1,0,0,0,0,0,0,0
1,15.4171069769214,1,0,0,0,0,0,0,0
1,15.4900010997437,1,0,0,0,0,0,0,0
1,15.562895222566,1,0,0,0,0,0,0,0
1,15.6357893453884,1,0,0,0,0,0,0,0
1,15.7086834682107,1,0,0,0,0,0,0,0
1,15.781577591033,1,0,0,0,0,0,0,0
1,15.8544717138553,1,0,0,0,0,0,0,0
1,15.9273658366777,1,0,0,0,0,0,0,0
1,16.0002599595,1,0,0,0,0,0,0,0
1,16.0731540823223,1,0,0,0,0,0,0,0
1,16.1460482051446,1,0,0,0,0,0,0,0
1,16.218942327967,1,0,0,0,0,0,0,0
1,16.2918364507893,1,0,0,0,0,0,0,0
1,16.3647305736116,1,0,0,0,0,0,0,0
1,16.4376246964339,1,0,0,0,0,0,0,0
1,16.5105188192562,1,0,0,0,0,0,0,0
1,16.5834129420786,1,0,0,0,0,0,0,0
1,16.6563070649009,1,0,0,0,0,0,0,0
1,16.7292011877232,1,0,0,0,0,0,0,0
1,16.8020953105455,1,0,0,0,0,0,0,0
1,16.8749894333679,1,0,0,0,0,0,0,0
1,16.9478835561902,1,0,0,0,0,0,0,0
1,17.0207776790125,1,0,0,0,0,0,0,0
1,17.0936718018348,1,0,0,0,0,0,0,0
1,17.1665659246572,1,0,0,0,0,0,0,0
1,17.2394600474795,1,0,0,0,0,0,0,0
1,17.3123541703018,1,0,0,0,0,0,0,0
1,17.3852482931241,1,0,0,0,0,0,0,0
1,17.4581424159464,1,0,0,0,0,0,0,0
1,17.5310365387688,1,0,0,0,0,0,0,0
1,17.6039306615911,1,0,0,0,0,0,0,0
1,17.6768247844134,1,0,0,0,0,0,0,0
1,17.7497189072357,1,0,0,0,0,0,0,0
1,17.8226130300581,1,0,0,0,0,0,0,0
1,17.8955071528804,1,0,0,0,0,0,0,0
1,17.9684012757027,1,0,0,0,0,0,0,0
1,18.041295398525,1,0,0,0,0,0,0,0
1,18.1141895213474,1,0,0,0,0,0,0,0
1,18.1870836441697,1,0,0,0,0,0,0,0
1,18.259977766992,1,0,0,0,0,0,0,0
1,18.3328718898143,1,0,0,0,0,0,0,0
1,18.4057660126366,1,0,0,0,0,0,0,0
1,18.478660135459,1,0,0,0,0,0,0,0
1,18.5515542582813,1,0,0,0,0,0,0,0
1,18.6244483811036,1,0,0,0,0,0,0,0
1,18.6973425039259,1,0,0,0,0,0,0,0
1,18.7702366267483,1,0,0,0,0,0,0,0
1,18.8431307495706,1,0,0,0,0,0,0,0
1,18.9160248723929,1,0,0,0,0,0,0,0
1,18.9889189952152,1,0,0,0,0,0,0,0
1,19.0618131180376,1,0,0,0,0,0,0,0
1,19.1347072408599,1,0,0,0,0,0,0,0
1,19.2076013636822,1,0,0,0,0,0,0,0
1,19.2804954865045,1,0,0,0,0,0,0,0
1,19.3533896093269,1,0,0,0,0,0,0,0
1,19.4262837321492,1,0,0,0,0,0,0,0
1,19.4991778549715,1,0,0,0,0,0,0,0
1,19.5720719777938,1,0,0,0,0,0,0,0
1,19.6449661006161,1,0,0,0,0,0,0,0
1,19.7178602234385,1,0,0,0,0,0,0,0
1,19.7907543462608,1,0,0,0,0,0,0,0
1,19.8636484690831,1,0,0,0,0,0,0,0
1,19.9365425919054,1,0,0,0,0,0,0,0
1,20.0094367147278,1,0,0,0,0,0,0,0
1,20.0823308375501,1,0,0,0,0,0,0,0
1,20.1552249603724,1,0,0,0,0,0,0,0
1,20.2281190831947,1,0,0,0,0,0,0,0
1,20.3010132060171,1,0,0,0,0,0,0,0
1,20.3739073288394,1,0,0,0,0,0,0,0
1,20.4468014516617,1,0,0,0,0,0,0,0
1,20.519695574484,1,0,0,0,0,0,0,0
